"Ticker","Nazwa emitenta","Data autoryzacji","Data pierwszego notowania","Data wykupu","Rodzaj oprocentowania obligacji","Oprocentowanie w bieżącym okresie odsetkowym (%)","Strona www emitenta","Wartosc nominalna","Wartosc emisji","Odsetki skumulowane","Waluta"
"ABE0726","AB","2022-08-01","2022-08-01","2026-07-14","zmienne","9.56","www.ab.pl","10 000,00","30 000 000,00","264,54","PLN"
"ABE1023","AB","2019-02-14","2019-02-14","2023-10-23","zmienne","10.05","www.ab.pl","10 000,00","80 000 000,00","5,18","PLN"
"ACH0623","ARCHE","2021-05-10","2021-05-10","2023-06-25","stałe","6","www.arche.pl","1 000,00","11 000 000,00","5,10","PLN"
"ACH0725","ARCHE","2022-12-02","2022-12-02","2025-07-22","zmienne","11.63","www.arche.pl","1 000,00","20 000 000,00","0,95","PLN"
"ACH1123","ARCHE","2021-05-10","2021-05-10","2023-11-24","stałe","6","www.arche.pl","1 000,00","15 687 000,00","9,86","PLN"
"ACH1124","ARCHE","2022-04-11","2022-04-11","2024-11-18","zmienne","11.63","www.arche.pl","1 000,00","20 000 000,00","21,03","PLN"
"ACH1125","ARCHE","2023-02-22","2023-02-22","2025-11-03","zmienne","11.65","www.arche.pl","1 000,00","12 000 000,00","25,85","PLN"
"ALR0524","ALIOR BANK","2016-05-11","2016-05-11","2024-05-16","zmienne","10.8","www.aliorbank.pl","1 000,00","70 000 000,00","47,34","PLN"
"ALR0924","ALIOR BANK","2014-12-19","2014-12-19","2024-09-26","zmienne","10.1","www.aliorbank.pl","1 000,00","321 700 000,00","8,30","PLN"
"ALR1025","ALIOR BANK","2017-12-21","2017-12-21","2025-10-20","zmienne","9.65","www.aliorbank.pl","1 000,00","600 000 000,00","1,32","PLN"
"ALR1225","ALIOR BANK","2018-01-08","2018-01-08","2025-12-29","zmienne","9.88","www.aliorbank.pl","400 000,00","150 000 000,00","12 668,05","PLN"
"ANW1223","ANWIM","2021-04-15","2021-04-15","2023-12-18","zmienne","10.93","www.anwim.pl","1 000,00","50 000 000,00","11,68","PLN"
"ANW1224","ANWIM","2022-02-28","2022-02-28","2024-12-17","zmienne","10.93","www.anwim.pl","1 000,00","25 000 000,00","11,68","PLN"
"AOW0125","AOW FAKTORING","2022-05-17","2022-05-17","2025-01-25","zmienne","12.03","www.aow.pl","100,00","10 000 000,00",NA,"PLN"
"AOW0424","AOW FAKTORING","2021-11-09","2021-11-09","2024-04-30","stałe","6","www.aow.pl","100,00","10 000 000,00",NA,"PLN"
"ARH0324","ARCHICOM","2022-08-11","2022-08-11","2024-03-15","zmienne","10.12","www.archicom.pl","1 000,00","110 000 000,00","11,09","PLN"
"ARH0623","ARCHICOM","2019-10-24","2019-10-24","2023-06-14","zmienne","10.23","www.archicom.pl","1 000,00","60 000 000,00","11,77","PLN"
"ATL1023","ATAL","2021-10-14","2021-10-14","2023-10-05","zmienne","8.7","www.atal.pl","1 000,00","120 000 000,00","4,77","PLN"
"BBI0225","BBI DEVELOPMENT","2023-04-11","2023-04-11","2025-02-24","zmienne","14.75","www.bbidevelopment.pl","1 000,00","37 000 000,00","25,05","PLN"
"BOS0724","BOŚ SA","2014-08-08","2014-08-08","2024-07-11","zmienne","9.38","www.bosbank.pl","1 000,00","150 000 000,00","26,73","PLN"
"BPO0626","BANK POCZTOWY","2016-09-08","2016-09-08","2026-06-08","zmienne","10.2","www.pocztowy.pl","100,00","50 000 000,00","3,86","PLN"
"BS10327","BEST","2023-04-04","2023-04-04","2027-03-14","zmienne","11.44","www.best.com.pl","100,00","11 226 000,00","1,32","PLN"
"BST0224","BEST","2021-08-04","2021-08-04","2024-02-15","zmienne","10.69","www.best.com.pl","100,00","20 000 000,00","2,02","PLN"
"BST0226","BEST","2022-08-05","2022-08-05","2026-02-17","zmienne","10.79","www.best.com.pl","100,00","10 000 000,00","1,98","PLN"
"BST0327","BEST","2022-03-24","2022-03-24","2027-03-07","zmienne","10.94","www.best.com.pl","100,00","10 508 500,00","1,47","PLN"
"BST0726","BEST","2021-08-12","2021-08-12","2026-07-23","stałe","4.4","www.best.com.pl","100,00","10 667 700,00","0,02","PLN"
"BST1026","BEST","2021-11-02","2021-11-02","2026-10-08","zmienne","11.09","www.best.com.pl","100,00","10 000 000,00","0,52","PLN"
"BST1226","BEST","2023-01-05","2023-01-05","2026-12-20","zmienne","11.43","www.best.com.pl","100,00","13 528 700,00","1,13","PLN"
"CA11225","CAVATINA HOLDING","2022-07-25","2022-07-25","2025-12-30","zmienne","13.16","www.cavatina.pl","1 000,00","20 000 000,00","41,82","PLN"
"CAV0526","CAVATINA HOLDING","2022-11-22","2022-11-22","2026-05-17","zmienne","13.69","www.cavatina.pl","1 000,00","16 738 000,00","59,64","PLN"
"CAV0925","CAVATINA HOLDING","2022-03-11","2022-03-11","2025-09-08","zmienne","13","www.cavatina.pl","1 000,00","40 695 000,00","17,10","PLN"
"CAV1225","CAVATINA HOLDING","2022-07-05","2022-07-05","2025-12-30","zmienne","13.16","www.cavatina.pl","1 000,00","40 000 000,00","41,82","PLN"
"CVH0624","CAVATINA HOLDING","2021-01-08","2021-01-08","2024-06-21","zmienne","13.71","www.cavatina.pl","1 000,00","20 000 000,00","46,95","PLN"
"CVH1224","CAVATINA HOLDING","2021-06-29","2021-06-29","2024-12-22","zmienne","13.7","www.cavatina.pl","1 000,00","20 500 000,00","46,54","PLN"
"CCC0626","CCC","2018-12-28","2018-12-28","2026-06-29","zmienne","11.66","www.ccc.eu","1 000,00","209 663 000,00","37,38","PLN"
"CPF0724","CORDIA POLSKA FINANCE","2021-07-29","2021-07-29","2024-07-15","zmienne","11.33","www.cordiapolska.pl/","1 000,00","68 797 000,00","31,66","PLN"
"CPS0130","CYFROWY POLSAT","2023-01-20","2023-01-20","2030-01-11","zmienne","10.96","www.grupapolsat.pl","1 000,00","2 670 000 000,00","31,23","PLN"
"CPS0227","CYFROWY POLSAT","2020-02-24","2020-02-24","2027-02-12","zmienne","8.64","www.grupapolsat.pl","1 000,00","164 009 000,00","16,57","PLN"
"CPS0426","CYFROWY POLSAT","2019-05-31","2019-05-31","2026-04-24","zmienne","9.37","www.grupapolsat.pl","1 000,00","308 048 000,00",NA,"PLN"
"CSA0726","COGNOR","2021-07-29","2021-07-29","2026-07-15","zmienne","9.96","www.cognor.pl","800,00","160 000 000,00","21,83","PLN"
"DEK0624","DEKPOL","2021-03-23","2021-03-23","2024-06-22","zmienne","12.6","www.dekpol.pl","1 000,00","11 000 000,00","42,81","PLN"
"DEK1023","DEKPOL","2020-11-12","2020-11-12","2023-10-28","zmienne","12.55","www.dekpol.pl","1 000,00","50 000 000,00",NA,"PLN"
"DKP0225","DEKPOL","2021-08-19","2021-08-19","2025-02-13","zmienne","11.62","www.dekpol.pl","1 000,00","25 000 000,00","22,60","PLN"
"DKP0824","DEKPOL","2021-03-02","2021-03-02","2024-08-23","zmienne","12.89","www.dekpol.pl","1 000,00","39 150 000,00","54,03","PLN"
"DKP0925","DEKPOL","2022-04-04","2022-04-04","2025-09-22","zmienne","11.52","www.dekpol.pl","1 000,00","12 102 000,00","10,73","PLN"
"DNP1023","DINO POLSKA","2020-10-16","2020-10-16","2023-10-06","zmienne","8.2","www.grupadino.pl","1 000,00","250 000 000,00","4,27","PLN"
"DNP1025","DINO POLSKA","2022-01-04","2022-01-04","2025-10-20","zmienne","8.1","www.grupadino.pl","1 000,00","200 000 000,00","1,11","PLN"
"DOM0526","DOM DEVELOPMENT","2021-06-02","2021-06-02","2026-05-12","zmienne","9.1","www.domd.pl","1 000,00","110 000 000,00","40,89","PLN"
"DOM0925","DOM DEVELOPMENT","2020-10-14","2020-10-14","2025-09-25","zmienne","8.7","www.domd.pl","1 000,00","100 000 000,00","7,39","PLN"
"DOM1023","DOM DEVELOPMENT","2019-01-09","2019-01-09","2023-10-09","zmienne","8.45","www.domd.pl","1 000,00","50 000 000,00","3,70","PLN"
"DOM1224","DOM DEVELOPMENT","2020-01-15","2020-01-15","2024-12-12","zmienne","8.86","www.domd.pl","1 000,00","50 000 000,00","32,53","PLN"
"DVL0523","DEVELIA","2019-09-25","2019-09-25","2023-05-22","zmienne","10.73","www.develia.pl","1 000,00","60 000 000,00","18,23","PLN"
"DVL0524","DEVELIA","2021-07-02","2021-07-02","2024-05-10","zmienne","9.89","www.develia.pl","1 000,00","120 310 000,00","19,78","PLN"
"DVL1023","DEVELIA","2020-12-15","2020-12-15","2023-10-06","zmienne","10.2","www.develia.pl","1 000,00","61 800 000,00","5,03","PLN"
