"Ticker","date","Emitent","Data.wykupu","Wartosc.nominalna","Wartosc.emisji","Waluta","Oprocentowanie","numer_wyplaty"
"ABE0726","2023-01-14","AB","2026-07-14","10 000,00","30 000 000,00","PLN","zmienne WIBOR 6M +  2.5%","# 1"
"ABE0726","2023-07-14","AB","2026-07-14","10 000,00","30 000 000,00","PLN","zmienne WIBOR 6M +  2.5%","# 2"
"ABE0726","2024-01-14","AB","2026-07-14","10 000,00","30 000 000,00","PLN","zmienne WIBOR 6M +  2.5%","# 3"
"ABE0726","2024-07-14","AB","2026-07-14","10 000,00","30 000 000,00","PLN","zmienne WIBOR 6M +  2.5%","# 4"
"ABE0726","2025-01-14","AB","2026-07-14","10 000,00","30 000 000,00","PLN","zmienne WIBOR 6M +  2.5%","# 5"
"ABE0726","2025-07-14","AB","2026-07-14","10 000,00","30 000 000,00","PLN","zmienne WIBOR 6M +  2.5%","# 6"
"ABE0726","2026-01-14","AB","2026-07-14","10 000,00","30 000 000,00","PLN","zmienne WIBOR 6M +  2.5%","# 7"
"ABE0726","2026-07-14","AB","2026-07-14","10 000,00","30 000 000,00","PLN","zmienne WIBOR 6M +  2.5%","# 8"
"ABE0726","2026-07-14","AB","2026-07-14","10 000,00","30 000 000,00","PLN","zmienne WIBOR 6M +  2.5%","# 9"
"ABE1023","2019-04-23","AB","2023-10-23","10 000,00","80 000 000,00","PLN","zmienne WIBOR 6M +  2.5%","# 1"
"ABE1023","2019-10-23","AB","2023-10-23","10 000,00","80 000 000,00","PLN","zmienne WIBOR 6M +  2.5%","# 2"
"ABE1023","2020-04-23","AB","2023-10-23","10 000,00","80 000 000,00","PLN","zmienne WIBOR 6M +  2.5%","# 3"
"ABE1023","2020-10-23","AB","2023-10-23","10 000,00","80 000 000,00","PLN","zmienne WIBOR 6M +  2.5%","# 4"
"ABE1023","2021-04-23","AB","2023-10-23","10 000,00","80 000 000,00","PLN","zmienne WIBOR 6M +  2.5%","# 5"
"ABE1023","2021-10-23","AB","2023-10-23","10 000,00","80 000 000,00","PLN","zmienne WIBOR 6M +  2.5%","# 6"
"ABE1023","2022-04-23","AB","2023-10-23","10 000,00","80 000 000,00","PLN","zmienne WIBOR 6M +  2.5%","# 7"
"ABE1023","2022-10-23","AB","2023-10-23","10 000,00","80 000 000,00","PLN","zmienne WIBOR 6M +  2.5%","# 8"
"ABE1023","2023-04-23","AB","2023-10-23","10 000,00","80 000 000,00","PLN","zmienne WIBOR 6M +  2.5%","# 9"
"ABE1023","2023-10-23","AB","2023-10-23","10 000,00","80 000 000,00","PLN","zmienne WIBOR 6M +  2.5%","# 10"
"ABE1023","2023-10-23","AB","2023-10-23","10 000,00","80 000 000,00","PLN","zmienne WIBOR 6M +  2.5%","# 11"
"ACH0623","2020-09-25","ARCHE","2023-06-25","1 000,00","11 000 000,00","PLN","stałe 6%","# 1"
"ACH0623","2020-12-25","ARCHE","2023-06-25","1 000,00","11 000 000,00","PLN","stałe 6%","# 2"
"ACH0623","2021-03-25","ARCHE","2023-06-25","1 000,00","11 000 000,00","PLN","stałe 6%","# 3"
"ACH0623","2021-06-25","ARCHE","2023-06-25","1 000,00","11 000 000,00","PLN","stałe 6%","# 4"
"ACH0623","2021-09-25","ARCHE","2023-06-25","1 000,00","11 000 000,00","PLN","stałe 6%","# 5"
"ACH0623","2021-12-25","ARCHE","2023-06-25","1 000,00","11 000 000,00","PLN","stałe 6%","# 6"
"ACH0623","2022-03-25","ARCHE","2023-06-25","1 000,00","11 000 000,00","PLN","stałe 6%","# 7"
"ACH0623","2022-06-25","ARCHE","2023-06-25","1 000,00","11 000 000,00","PLN","stałe 6%","# 8"
"ACH0623","2022-09-25","ARCHE","2023-06-25","1 000,00","11 000 000,00","PLN","stałe 6%","# 9"
"ACH0623","2022-12-25","ARCHE","2023-06-25","1 000,00","11 000 000,00","PLN","stałe 6%","# 10"
"ACH0623","2023-03-25","ARCHE","2023-06-25","1 000,00","11 000 000,00","PLN","stałe 6%","# 11"
"ACH0623","2023-06-25","ARCHE","2023-06-25","1 000,00","11 000 000,00","PLN","stałe 6%","# 12"
"ACH0623","2023-06-25","ARCHE","2023-06-25","1 000,00","11 000 000,00","PLN","stałe 6%","# 13"
"ACH0725","2022-10-22","ARCHE","2025-07-22","1 000,00","20 000 000,00","PLN","zmienne WIBOR 3M +  4.7%","# 1"
"ACH0725","2023-01-22","ARCHE","2025-07-22","1 000,00","20 000 000,00","PLN","zmienne WIBOR 3M +  4.7%","# 2"
"ACH0725","2023-04-22","ARCHE","2025-07-22","1 000,00","20 000 000,00","PLN","zmienne WIBOR 3M +  4.7%","# 3"
"ACH0725","2023-07-22","ARCHE","2025-07-22","1 000,00","20 000 000,00","PLN","zmienne WIBOR 3M +  4.7%","# 4"
"ACH0725","2023-10-22","ARCHE","2025-07-22","1 000,00","20 000 000,00","PLN","zmienne WIBOR 3M +  4.7%","# 5"
