"Ticker","Nazwa emitenta","Waluta","Rynek","Wartosc nominalna","Data poprzedniej wypłaty","Dni od poprzedniej wypłaty","Data nastepnej wypłaty","Dni do następnej wypłaty","Rodzaj oprocentowania obligacji","WIBOR","Oprocentowanie","Oprocentowanie w bieżącym okresie odsetkowym (%)","Odsetki skumulowane","Liczba transakcji wrzesień 2023","Liczba dni z transakcjami wrzesień 2023","Obroty [tys.] wrzesień 2023","Data autoryzacji","Data pierwszego notowania","Data wykupu","Wartosc emisji","Zabezpieczenie","Strona www emitenta"
"ABE0227","AB","PLN","GPW ASO","10 000,00",NA,NA,2024-02-18,91,"zmienne","WIBOR 6M","2.6%","9.15","80,22",NA,NA,NA,"2023-08-31","2023-08-31","2027-02-18","80 000 000,00","NIE","www.ab.pl"
"ABE0726","AB","PLN","GPW ASO","10 000,00",2023-07-14,128,2024-01-14,56,"zmienne","WIBOR 6M","2.5%","9.29","170,53",0,0,0,"2022-08-01","2022-08-01","2026-07-14","30 000 000,00","NIE","www.ab.pl"
"ABE1023","AB","PLN","GPW ASO, BS ASO","10 000,00",2023-10-23,27,NA,NA,"zmienne","WIBOR 6M","2.5%","9.45","385,77",0,0,0,"2019-02-14","2019-02-14","2023-10-23","68 950 000,00","NIE","www.ab.pl"
"ABE1023","AB","PLN","GPW ASO, BS ASO","10 000,00",2023-10-23,27,NA,NA,"zmienne","WIBOR 6M","2.5%","9.45","385,77",0,0,0,"2019-02-14","2019-02-14","2023-10-23","68 950 000,00","NIE","www.ab.pl"
"ACH0725","ARCHE","PLN","GPW ASO","1 000,00",2023-10-22,28,2024-01-22,64,"zmienne","WIBOR 3M","4.7%","11.5","18,59",6,5,36.05,"2022-12-02","2022-12-02","2025-07-22","20 000 000,00","TAK","www.arche.pl"
"ACH1123","ARCHE","PLN","GPW ASO","1 000,00",2023-08-24,87,2023-11-24,5,"stałe","","6%","6","4,27",7,4,140.28,"2021-05-10","2021-05-10","2023-11-24","10 658 000,00","TAK","www.arche.pl"
"ACH1124","ARCHE","PLN","GPW ASO","1 000,00",2023-11-18,1,2024-02-18,91,"zmienne","WIBOR 3M","4.7%","11.42","10,01",13,6,82.39,"2022-04-11","2022-04-11","2024-11-18","20 000 000,00","TAK","www.arche.pl"
"ACH1125","ARCHE","PLN","GPW ASO","1 000,00",2023-11-03,16,2024-02-03,76,"zmienne","WIBOR 3M","4.7%","11.42","14,71",6,2,21.51,"2023-02-22","2023-02-22","2025-11-03","12 000 000,00","TAK","www.arche.pl"
"ALR0524","ALIOR BANK","PLN","GPW RR","1 000,00",2023-11-16,3,2024-05-16,179,"zmienne","WIBOR 6M","3%","9.95","34,35",26,9,348.6,"2016-05-11","2016-05-11","2024-05-16","70 000 000,00","NIE","www.aliorbank.pl"
"ALR0626","ALIOR BANK","PLN","GPW RR","400 000,00",NA,NA,2023-12-26,37,"zmienne","WIBOR 6M","3.1%","10.05","9 361,64",0,0,0,"2023-06-30","2023-06-30","2026-06-26","400 000 000,00","NIE","www.aliorbank.pl"
"ALR0924","ALIOR BANK","PLN","BS ASO","1 000,00",2023-09-26,54,2024-03-26,128,"zmienne","WIBOR 6M","3.14%","10.1",NA,1,1,105.07,"2014-12-19","2014-12-19","2024-09-26","321 700 000,00","NIE","www.aliorbank.pl"
